order_id,order_date,total_price,quantity,product_name,category,rating,review_date,shipment_date,carrier,delivery_date,shipment_status,payment_method
7cca326d-c457-41ac-b167-78bb4ad235bc,2024-04-26,343.81,2,Shampoo,beauty,0.2,2024-04-26,2024-06-05,DHL,2024-06-05,delivered,Debit Card
bde8f90c-5e06-46e9-88fc-c5c2a3099400,2024-01-28,23.58,3,Bluetooth Speaker,electronics,4.0,2024-02-16,2024-07-27,UPS,2024-08-02,delivered,Debit Card
93fb5741-baa7-4b15-b480-12f10ee98249,2024-02-05,317.31,2,Cycling Helmet,sports,,,2024-04-04,FedEx,2024-04-04,pending,Credit Card
dee870bc-0699-4645-827b-796e25d10a98,2024-01-14,320.93,3,Basketball,sports,,,2024-05-18,UPS,2024-05-22,pending,Debit Card
28cda9f8-88e0-4c00-b327-8294c47d9586,2024-09-29,469.97,1,T-shirt,fashion,,,2024-10-09,FedEx,2024-10-09,shipped,PayPal
eb20db61-a70f-4be8-91dc-a201182189bf,2023-01-24,404.76,1,Jacket,fashion,1.4,2023-02-15,2023-08-08,FedEx,2023-08-22,delivered,Debit Card
22c5f5ff-600e-43fd-a8e4-2842fb2fd449,2023-05-14,100.92,2,Lamp,home,2.4,2023-05-19,2024-09-06,FedEx,2024-09-10,delivered,Credit Card
7876b0c2-e80f-47c8-a4db-3dc18621dcab,2023-07-20,222.27,2,Makeup Brush,beauty,3.3,2023-08-02,2024-07-11,UPS,2024-07-25,delivered,PayPal
3b0b26b5-c5bf-404f-8d7a-9484fdcee892,2024-07-15,71.46,2,Toaster,home,2.8,2024-07-28,2024-12-07,DHL,2024-12-07,delivered,Debit Card
9faee51e-94a6-483a-9b00-3079a3946dba,2023-07-01,343.89,4,Air Conditioner,home,,,2024-12-10,FedEx,2024-12-24,pending,Credit Card
18ca15e9-0682-42de-ac6e-eed7092724dd,2024-09-06,141.56,3,Conditioner,beauty,,,2024-11-12,FedEx,2024-11-19,pending,Credit Card
96951fb5-749c-438d-8085-d384bdd6fdbc,2023-01-24,79.9,1,Yoga Mat,sports,,,2023-07-28,DHL,2023-07-30,shipped,Credit Card
11bd8f74-a18d-4b77-992c-9bad0c1f3ce3,2023-04-24,424.44,2,Laptop,electronics,,,2024-11-03,UPS,2024-11-17,shipped,Credit Card
ff316a48-5c2b-4031-b26d-d455031919ab,2023-01-23,209.19,4,Sweater,fashion,4.7,2023-02-17,2023-12-09,UPS,2023-12-12,delivered,Credit Card
0cfba9b8-68f1-4408-8ebb-a42295493de6,2023-11-27,114.28,5,Lamp,home,,,2024-01-07,DHL,2024-01-17,pending,Credit Card
13ce69f7-43bf-4966-9e1d-0b65e7221d04,2023-09-08,466.87,5,Yoga Mat,sports,,,2024-06-28,UPS,2024-07-03,shipped,Credit Card
22fa0ed0-5887-45ee-bf6a-4e7da2e01168,2023-11-12,462.09,2,Cycling Helmet,sports,,,2024-08-07,FedEx,2024-08-19,shipped,Debit Card
89845af3-f70e-42fa-87ae-504639b82c04,2024-09-29,226.59,1,Dining Table,home,,,2024-12-04,DHL,2024-12-14,shipped,Credit Card
